sound Sensor,soundLevel MAX4466,soundLevel MAX9814,Actual
65.05808,78.37984,70.69395,1
71.49953,79.56968,70.35455,1
67.60294,76.47247,70.43178,1
70.82871,78.34975,70.35455,1
68.3931,76.54287,70.3426,1
67.8744,79.41698,70.4613,1
67.17915,81.31004,70.39027,1
68.43497,81.93721,70.72832,1
70.92329,81.02427,70.35753,1
69.00076,79.9317,70.4613,1
72.60049,82.17333,70.43769,1
67.37006,79.89252,70.36051,1
69.56866,80.37527,70.43769,1
72.88029,80.05644,70.35455,1
66.264,79.52005,70.40512,1
72.70328,79.5755,70.34857,1
68.92216,77.67068,70.47014,1
71.20102,75.74425,70.3426,1
71.67384,77.95923,70.34857,1
69.45802,76.98901,70.49953,1
72.49646,78.42645,70.35156,1
69.71404,79.78813,70.35156,1
69.92764,77.31958,70.33662,1
71.1706,78.85403,70.36349,1
72.97984,78.66552,70.35455,1
70.76508,78.97333,70.35156,1
67.51054,79.39028,70.35455,1
64.35257,77.88181,70.49366,1
68.55935,79.97348,70.35455,1
68.13762,82.03638,70.50833,1
67.91882,79.96792,70.45245,1
67.78484,78.92329,70.36051,1
72.54863,80.34338,70.3426,1
69.07866,82.1798,70.34857,1
69.64165,80.07568,70.35455,1
73.98363,78.13954,71.18213,1
69.92764,76.93399,70.37838,1
73.93942,80.58496,70.34559,1
67.8744,78.16011,70.36349,1
67.64877,80.2011,70.41106,1
67.0821,78.4992,70.41994,1
70.79695,79.40512,70.59874,1
71.14007,78.32627,70.36945,1
70.82871,81.20216,70.40512,1
69.27041,78.20451,70.39027,1
68.64129,78.66552,70.3426,1
75.57092,77.565,70.35455,1
68.007,82.29329,70.36647,1
71.84471,79.06327,70.50833,1
70.17038,82.29754,70.48191,1
70.66875,82.17333,70.45836,1
73.895,82.17118,70.40512,1
70.76508,81.9128,70.40512,1
68.35104,82.27412,70.87006,1
69.71404,82.02322,70.43474,1
70.37317,82.21636,70.35156,1
65.65324,81.95492,70.51712,1
67.64877,82.31029,70.86162,1
68.64129,81.80545,70.37838,1
69.85703,82.31029,71.14951,1
70.10172,82.10403,70.44951,1
66.68268,82.14957,70.39027,1
72.47026,82.2869,70.37838,1
66.37057,81.93721,70.42587,1
70.98579,81.51021,70.56676,1
72.6263,82.26346,70.77676,1
71.7597,82.29542,70.4436,1
71.14007,82.31454,70.41994,1
68.72247,82.3018,70.40512,1
69.03979,82.25278,70.90654,1
72.60049,82.23138,70.59874,1
